Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Bahamas,2006-01-01,Developing,74.2,171.0,0,11.07,0.0,96.0,0,58.7,0,94.0,6.93,95.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.788,12.4
Bahamas,2005-01-01,Developing,74.1,172.0,0,10.49,0.0,93.0,0,58.1,0,93.0,5.95,93.0,0.1,7483.158469138474,12753375.120052494,2.6,2.5,0.786,12.4
Bahamas,2004-01-01,Developing,73.8,174.0,0,10.1,0.0,93.0,0,57.4,0,92.0,6.2,93.0,0.1,7483.158469138474,12753375.120052494,2.6,2.5,0.784,12.3
Bahamas,2003-01-01,Developing,73.2,189.0,0,10.68,0.0,88.0,0,56.7,0,93.0,5.62,92.0,0.1,7483.158469138474,12753375.120052494,2.6,2.5,0.783,12.2
Bahamas,2002-01-01,Developing,73.1,19.0,0,10.85,0.0,89.0,0,56.0,0,93.0,5.26,94.0,0.1,7483.158469138474,12753375.120052494,2.6,2.6,0.781,12.1
Bahrain,2013-01-01,Developing,76.7,7.0,0,1.65,3.968695982,99.0,0,62.2,0,99.0,4.69,99.0,0.1,251.18329,12753375.120052494,6.1,6.0,0.815,14.5
Bahrain,2011-01-01,Developing,76.1,76.0,0,1.66,197.7734681,99.0,0,6.8,0,99.0,3.4,99.0,0.1,2281.1242,12753375.120052494,6.1,6.0,0.812,14.4
Bahrain,2010-01-01,Developing,76.1,73.0,0,1.93,266.7696122,99.0,0,6.1,0,99.0,3.64,99.0,0.1,2722.1389,12753375.120052494,6.0,5.9,0.81,14.4
Bahrain,2008-01-01,Developing,75.8,76.0,0,2.0,231.5478912,97.0,2,58.5,0,97.0,3.17,97.0,0.1,2367.56535,12753375.120052494,6.0,5.9,0.815,14.4
Bahrain,2007-01-01,Developing,75.6,77.0,0,2.0,278.3602806,97.0,7,57.6,0,97.0,3.8,97.0,0.1,2977.1153,12753375.120052494,6.1,5.9,0.813,14.4
Bahrain,2006-01-01,Developing,75.5,79.0,0,2.1,170.7374027,98.0,3,56.8,0,98.0,3.8,98.0,0.1,1937.99549,12753375.120052494,6.1,5.9,0.81,14.2
Bahrain,2002-01-01,Developing,74.9,87.0,0,1.99,106.4303336,98.0,8,55.0,0,98.0,3.89,98.0,0.1,1312.33457,12753375.120052494,6.2,5.9,0.796,13.5
Bahrain,2000-01-01,Developing,74.5,92.0,0,2.15,167.7270642,97.0,6,54.5,0,97.0,3.51,97.0,0.1,13636.34668,12753375.120052494,6.2,6.0,0.786,13.2
Barbados,2015-01-01,Developing,75.5,98.0,0,4.602860787172012,0.0,97.0,0,54.5,0,97.0,5.9381895280235995,97.0,0.1,15557.8381,12753375.120052494,3.8,3.7,0.794,15.3
Barbados,2014-01-01,Developing,75.4,1.0,0,8.82,294.9056584,94.0,0,53.7,0,95.0,7.47,94.0,0.1,15359.66971,12753375.120052494,3.8,3.7,0.793,15.3
Barbados,2013-01-01,Developing,75.2,11.0,0,8.74,263.0372838,91.0,0,53.0,0,91.0,7.57,91.0,0.1,15472.7814,12753375.120052494,3.8,3.8,0.792,15.3
Barbados,2012-01-01,Developing,75.1,12.0,0,8.61,260.0043858,87.0,0,52.2,0,88.0,7.43,87.0,0.1,15384.8749,12753375.120052494,3.8,3.8,0.785,15.3
Barbados,2011-01-01,Developing,74.9,14.0,0,8.51,173.9825629,91.0,0,51.4,0,91.0,6.67,91.0,0.1,15534.1574,12753375.120052494,3.8,3.8,0.78,15.5
Barbados,2009-01-01,Developing,74.6,19.0,0,8.46,327.1618128,93.0,0,49.9,0,93.0,6.21,93.0,0.1,16523.32388,12753375.120052494,3.8,3.8,0.779,15.5
Barbados,2008-01-01,Developing,74.4,111.0,0,8.95,25.52277112,85.0,0,49.2,0,85.0,6.1,85.0,0.1,1657.3228,12753375.120052494,3.9,3.9,0.775,15.3
Barbados,2006-01-01,Developing,74.1,115.0,0,8.39,181.5000856,84.0,0,47.7,0,85.0,5.27,84.0,0.1,15646.5591,12753375.120052494,4.0,3.9,0.766,14.8
Barbados,2004-01-01,Developing,73.8,119.0,0,7.68,166.0083443,93.0,0,46.2,0,93.0,5.71,93.0,0.2,12868.8639,12753375.120052494,4.1,4.0,0.757,14.4
Barbados,2002-01-01,Developing,73.5,123.0,0,7.59,133.099491,66.0,0,44.6,0,86.0,5.76,87.0,0.8,11675.39395,12753375.120052494,4.2,4.1,0.749,14.0
Belarus,2015-01-01,Developing,72.3,196.0,0,4.602860787172012,0.0,99.0,2,62.3,0,99.0,5.9381895280235995,99.0,0.1,5949.11677,9489616.0,1.9,2.0,0.798,15.6
Belarus,2012-01-01,Developing,71.9,194.0,0,16.35,91.70962117,97.0,10,6.5,1,98.0,5.1,98.0,0.1,694.243915,9464495.0,2.0,2.1,0.793,15.6
Belarus,2010-01-01,Developing,73.0,222.0,0,14.44,8.49409518,96.0,1,59.3,1,99.0,5.55,98.0,0.1,63.38877,949583.0,2.0,2.2,0.78,15.5
Belarus,2009-01-01,Developing,70.0,226.0,0,14.09,434.7985025,98.0,0,58.7,1,98.0,6.9,96.0,0.1,5176.172649,956765.0,2.1,2.2,0.771,15.4
Belarus,2008-01-01,Developing,70.0,224.0,1,14.67,501.8056141,98.0,0,58.2,1,98.0,5.95,97.0,0.1,6376.183153,9527985.0,2.1,2.3,0.755,15.1
Belarus,2006-01-01,Developing,68.9,243.0,1,12.6,364.426052,98.0,149,57.2,1,97.0,6.34,99.0,0.1,3848.215966,964924.0,2.2,2.4,0.723,14.6
Belarus,2005-01-01,Developing,68.1,252.0,1,11.01,45.65007798,99.0,1,56.7,1,98.0,6.89,99.0,0.1,3126.71767,9663915.0,2.3,2.5,0.713,14.4
Belarus,2004-01-01,Developing,68.2,247.0,1,12.05,42.33443901,99.0,2,56.2,1,99.0,6.59,99.0,0.1,2378.33927,973146.0,2.4,2.5,0.703,14.1
Belarus,2002-01-01,Developing,67.2,262.0,1,12.23,145.4233629,99.0,14,55.3,1,99.0,6.47,99.0,0.1,1479.383142,9865548.0,2.5,2.7,0.687,13.6
Belarus,2001-01-01,Developing,67.7,254.0,1,10.74,14.06141699,93.0,45,54.9,1,99.0,6.62,99.0,0.1,1244.373185,9928549.0,2.6,2.7,0.681,13.3
Belgium,2015-01-01,Developed,81.1,74.0,0,4.602860787172012,0.0,98.0,47,63.7,1,99.0,5.9381895280235995,99.0,0.1,4356.875,11274196.0,1.0,1.0,0.895,16.6
Belgium,2013-01-01,Developed,87.0,77.0,0,11.77,702.359357,98.0,39,63.0,1,99.0,1.57,99.0,0.1,4651.38647,11182817.0,1.0,0.9,0.889,16.3
Belgium,2012-01-01,Developed,83.0,78.0,0,10.08,664.4738975,98.0,109,62.6,1,99.0,1.54,99.0,0.1,4474.5717,11128246.0,0.9,0.9,0.886,16.2
Belgium,2011-01-01,Developed,83.0,8.0,0,10.11,713.5297354,97.0,576,62.3,1,98.0,1.42,98.0,0.1,4772.77415,1147744.0,0.9,0.9,0.884,16.1
Belgium,2010-01-01,Developed,80.0,81.0,0,10.22,665.7356115,97.0,40,61.9,1,98.0,1.17,98.0,0.1,4438.23741,1895586.0,0.9,0.9,0.878,15.9
Belgium,2009-01-01,Developed,79.8,85.0,0,10.05,671.9376566,97.0,33,61.6,1,98.0,1.39,98.0,0.1,4488.5615,1796493.0,0.9,0.9,0.876,15.8
Belgium,2007-01-01,Developed,79.5,86.0,0,10.25,640.3560918,94.0,64,6.9,1,99.0,9.25,98.0,0.1,4443.83131,16257.0,0.8,0.8,0.871,15.8
Belgium,2003-01-01,Developed,78.3,95.0,0,11.28,507.306164,64.0,44,59.4,1,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.8,0.8,0.878,18.6
Belize,2015-01-01,Developing,71.0,175.0,0,4.602860787172012,0.0,94.0,0,5.9,0,94.0,5.9381895280235995,94.0,0.2,4849.997495,359288.0,3.5,3.4,0.706,12.8
Belize,2014-01-01,Developing,70.0,177.0,0,6.58,670.0920883,95.0,0,5.1,0,95.0,5.79,95.0,0.2,4852.223666,351694.0,3.4,3.4,0.705,12.8
Belize,2013-01-01,Developing,69.8,18.0,0,6.56,629.2018591,95.0,0,49.3,0,95.0,5.79,95.0,0.2,4688.538443,344181.0,3.4,3.4,0.706,12.9
Belize,2012-01-01,Developing,69.4,189.0,0,6.66,582.8027185,98.0,0,48.5,0,98.0,5.45,98.0,0.1,4673.63848,33671.0,3.5,3.4,0.702,12.5
Belize,2011-01-01,Developing,69.4,188.0,0,6.64,605.6286892,95.0,0,47.8,0,95.0,5.61,95.0,0.5,4516.24675,329192.0,3.5,3.4,0.7,12.4
Belize,2010-01-01,Developing,69.5,186.0,0,6.76,569.9527122,96.0,0,47.0,0,96.0,5.85,96.0,0.2,4344.15177,32168.0,3.5,3.4,0.7,12.4
Belize,2009-01-01,Developing,69.5,184.0,0,6.85,549.8096097,97.0,0,46.3,0,98.0,5.81,97.0,0.3,4258.788611,313929.0,3.5,3.4,0.7,12.7
Belize,2008-01-01,Developing,69.6,181.0,0,7.22,51.25232422,94.0,0,45.7,0,94.0,5.9,94.0,0.1,447.22796,36165.0,3.5,3.4,0.699,12.8
Belize,2007-01-01,Developing,69.6,181.0,0,7.24,69.63051047,96.0,0,45.0,0,97.0,4.76,96.0,0.6,4324.876427,29847.0,3.5,3.5,0.7,12.8
Belize,2006-01-01,Developing,69.4,184.0,0,6.48,387.3324928,98.0,0,44.4,0,98.0,4.4,98.0,0.6,4187.3783,29747.0,3.6,3.5,0.692,12.3
Belize,2005-01-01,Developing,69.0,191.0,0,6.25,365.799896,96.0,0,43.8,0,96.0,4.45,96.0,0.8,3933.332215,283277.0,3.6,3.5,0.695,12.8
Belize,2004-01-01,Developing,68.7,197.0,0,6.2,325.6807462,97.0,0,43.2,0,97.0,4.39,97.0,0.8,3831.53819,27689.0,3.6,3.5,0.691,12.5
Belize,2003-01-01,Developing,68.4,21.0,0,5.67,312.7995946,96.0,0,42.6,0,95.0,4.53,96.0,1.5,3679.99523,26913.0,3.6,3.6,0.684,12.2
Belize,2002-01-01,Developing,68.5,199.0,0,4.99,262.8299189,97.0,0,42.0,0,93.0,4.38,89.0,0.1,3556.561825,26226.0,3.7,3.6,0.678,11.9
Belize,2001-01-01,Developing,68.2,21.0,0,4.9,251.6586929,96.0,0,41.4,0,96.0,4.5,96.0,0.4,3419.275719,254984.0,3.7,3.7,0.677,11.8
Belize,2000-01-01,Developing,68.3,196.0,0,4.79,219.0239836,76.0,0,4.8,0,91.0,3.98,91.0,0.3,3364.423711,247315.0,3.8,3.7,0.668,11.7
Benin,2015-01-01,Developing,60.0,249.0,25,4.602860787172012,0.0,82.0,55,25.7,39,78.0,5.9381895280235995,82.0,1.0,783.94791,1575952.0,6.9,6.8,0.481,10.7
Benin,2014-01-01,Developing,59.7,252.0,25,0.01,90.12206791,78.0,786,25.2,39,74.0,4.59,78.0,1.1,943.686575,1286712.0,7.1,6.9,0.475,10.7
Benin,2013-01-01,Developing,59.5,251.0,25,0.01,87.4080423,77.0,637,24.6,39,73.0,4.59,77.0,1.2,915.2674586,14451.0,7.2,7.1,0.466,10.3
Benin,2011-01-01,Developing,59.1,251.0,25,1.4,110.2633619,75.0,426,23.5,39,77.0,5.37,75.0,1.4,825.9427854,94682.0,7.6,7.5,0.454,9.8
Benin,2010-01-01,Developing,58.7,254.0,25,1.33,94.25737917,76.0,392,23.0,39,77.0,4.95,76.0,1.4,757.695974,9199259.0,7.8,7.6,0.451,9.5
Bolivia (Plurinational State of),2015-01-01,Developing,77.0,186.0,8,4.602860787172012,0.0,99.0,0,52.6,10,99.0,5.9381895280235995,99.0,0.1,7483.158469138474,12753375.120052494,1.2,1.1,0.671,13.8
Bolivia (Plurinational State of),2014-01-01,Developing,74.0,189.0,8,3.62,0.0,98.0,0,51.9,10,99.0,6.33,98.0,0.1,7483.158469138474,12753375.120052494,1.2,1.1,0.666,13.8
Bolivia (Plurinational State of),2013-01-01,Developing,71.0,192.0,8,3.78,0.0,94.0,0,51.2,10,95.0,5.96,94.0,0.1,7483.158469138474,12753375.120052494,1.2,1.1,0.661,13.8
Bolivia (Plurinational State of),2012-01-01,Developing,69.8,194.0,8,3.89,0.0,93.0,0,5.6,11,93.0,5.56,93.0,0.1,7483.158469138474,12753375.120052494,1.2,1.1,0.655,13.8
Bolivia (Plurinational State of),2011-01-01,Developing,69.3,198.0,9,3.93,0.0,95.0,0,49.9,11,95.0,5.49,95.0,0.2,7483.158469138474,12753375.120052494,1.2,1.1,0.649,13.8
Bolivia (Plurinational State of),2009-01-01,Developing,68.0,27.0,10,3.87,0.0,93.0,0,48.6,12,92.0,5.76,93.0,0.2,7483.158469138474,12753375.120052494,1.2,1.1,0.636,13.8
Bolivia (Plurinational State of),2008-01-01,Developing,67.4,211.0,10,3.77,0.0,88.0,0,48.0,13,87.0,5.0,88.0,0.2,7483.158469138474,12753375.120052494,1.3,1.1,0.632,14.0
Bolivia (Plurinational State of),2007-01-01,Developing,66.8,216.0,11,3.47,0.0,84.0,0,47.3,14,85.0,4.96,84.0,0.2,7483.158469138474,12753375.120052494,1.3,1.2,0.626,14.1
Bolivia (Plurinational State of),2006-01-01,Developing,66.2,219.0,11,3.23,0.0,83.0,0,46.7,15,82.0,5.19,83.0,0.2,7483.158469138474,12753375.120052494,1.3,1.2,0.625,14.3
Bolivia (Plurinational State of),2005-01-01,Developing,65.7,222.0,12,2.86,0.0,85.0,0,46.0,16,84.0,5.67,85.0,0.2,7483.158469138474,12753375.120052494,1.3,1.2,0.622,14.4
Bolivia (Plurinational State of),2004-01-01,Developing,65.1,226.0,12,2.66,0.0,84.0,0,45.4,16,84.0,5.22,84.0,0.2,7483.158469138474,12753375.120052494,1.4,1.2,0.62,14.6
Bolivia (Plurinational State of),2002-01-01,Developing,63.9,234.0,14,2.26,0.0,77.0,0,44.0,18,76.0,6.53,77.0,0.1,7483.158469138474,12753375.120052494,1.4,1.3,0.61,14.0
Bolivia (Plurinational State of),2001-01-01,Developing,63.3,238.0,14,2.2,0.0,77.0,0,43.3,19,71.0,6.31,71.0,0.1,7483.158469138474,12753375.120052494,1.5,1.4,0.607,13.7
Bolivia (Plurinational State of),2000-01-01,Developing,62.6,243.0,15,2.32,0.0,77.0,122,42.6,20,74.0,5.67,75.0,0.1,7483.158469138474,12753375.120052494,1.5,1.4,0.6,13.3
Bosnia and Herzegovina,2013-01-01,Developing,77.0,9.0,0,4.12,75.61062911,91.0,0,54.7,0,87.0,9.46,89.0,0.1,535.86555,364999.0,2.4,2.4,0.735,14.2
Bosnia and Herzegovina,2012-01-01,Developing,76.8,92.0,0,4.61,693.8226461,92.0,22,54.2,0,87.0,9.94,92.0,0.1,4716.673325,36482.0,2.5,2.5,0.728,13.9
Bosnia and Herzegovina,2011-01-01,Developing,76.9,92.0,0,4.64,7.959131146,88.0,10,53.7,0,89.0,9.71,88.0,0.1,55.156834,3688865.0,2.6,2.5,0.711,13.4
Bosnia and Herzegovina,2008-01-01,Developing,76.0,98.0,0,5.13,66.04635027,88.0,8,52.1,0,92.0,8.58,91.0,0.1,575.31664,3763599.0,2.8,2.7,0.71,13.1
Bosnia and Herzegovina,2007-01-01,Developing,75.4,16.0,0,5.16,8.240355867,94.0,166,51.5,0,95.0,8.37,95.0,0.1,418.292176,3774.0,2.8,2.8,0.703,12.9
Brazil,2015-01-01,Developing,75.0,142.0,42,4.602860787172012,0.0,96.0,214,56.1,47,98.0,5.9381895280235995,96.0,0.1,8757.2622,2596218.0,2.7,2.6,0.754,15.2
Brazil,2014-01-01,Developing,74.8,144.0,44,7.32,83.16465362,96.0,876,55.3,49,96.0,8.32,93.0,0.1,1226.61731,24213133.0,2.7,2.7,0.747,15.2
